SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
1018GS2026, GS, 27-Jul-2026,104.25,104.35,104.35,104.01,104.01,104.05,104.2,2001,2.08,10,1001,50.02
20MICRONS, EQ, 27-Jul-2026,204.23,205.25,211.47,203.05,203.87,204,206.63,151604,313.26,3578,49942,32.94
21STCENMGM, EQ, 27-Jul-2026,37.11,37.85,37.85,37.85,37.85,37.85,37.85,4700,1.78,27,4700,100
360ONE, EQ, 27-Jul-2026,1102.3,1116.3,1136.9,1103.1,1129.3,1132.7,1127.05,928617,10465.98,40785,548118,59.03
3BBLACKBIO, EQ, 27-Jul-2026,1278.1,1282,1314.8,1263.8,1297.6,1292.3,1292.93,9178,118.67,1013,4974,54.19
3IINFOLTD, EQ, 27-Jul-2026,19.74,19.9,21.38,19.5,20.32,20.68,20.64,1627856,335.99,4854,864729,53.12
3MINDIA, EQ, 27-Jul-2026,35500,35790,35830,35150,35195,35195,35336.63,1279,451.96,916,602,47.07
3PLAND, EQ, 27-Jul-2026,31.57,34.5,34.5,31.5,32.98,32.29,32.36,5697,1.84,118,2684,47.11
574GS2026, GS, 27-Jul-2026,100.39,101.45,101.45,100,100,100,100.81,1001,1.01,4,501,50.05
591GS2028, GS, 27-Jul-2026,99,98.31,98.31,98.31,98.31,98.31,98.31,17800,17.5,3,17800,100
5PAISA, EQ, 27-Jul-2026,373.1,375.45,381.95,368,368.5,369.25,370.77,34073,126.33,1737,20152,59.14
601GS2030, GS, 27-Jul-2026,98,99,99,98,98,98,98.14,136400,133.87,14,136400,100
603GS2029, GS, 27-Jul-2026,101,101,101,100,100,100,100.5,400,0.4,3,400,100
610GS2031, GS, 27-Jul-2026,102.45,102.85,102.85,102.85,102.85,102.85,102.85,1,0,1,1,100
63MOONS, EQ, 27-Jul-2026,708.3,711.1,746.85,705.1,728,728.8,733.07,227517,1667.86,9407,99099,43.56
648GS2035, GS, 27-Jul-2026,99,98.11,98.5,98.11,98.5,98.5,98.31,200,0.2,2,100,50
654GS2032, GS, 27-Jul-2026,99.56,99.8,99.8,99.8,99.8,99.8,99.8,16,0.02,1,16,100
664GS2035, GS, 27-Jul-2026,97.46,97.46,97.46,97.46,97.46,97.46,97.46,2,0,2,2,100
667GS2050, GS, 27-Jul-2026,93,91,92.75,91,92.75,92.75,91.72,5551,5.09,15,3000,54.04
668GS2033, GS, 27-Jul-2026,99.85,99.8,100,98.41,100,100,99.2,3530,3.5,5,1830,51.84
668GS2040, GS, 27-Jul-2026,98.05,98.37,98.37,97,97,97,97.03,136400,132.35,21,132400,97.07
